TeamID,TeamName,Members,AverageSkill,PersonalityDistribution,Games,Roles
T1,Team 1,P025;P077;P038;P066,3.25,Leaders:1-Balanced:2-Thinkers:1,FIFA;Valorant;Chess,Coordinator;Attacker;Defender;Strategist
T2,Team 2,P040;P092;P009;P048,7.00,Leaders:1-Balanced:1-Thinkers:2,Chess;Basketball;CS:GO;Valorant,Coordinator;Attacker;Supporter;Defender
T3,Team 3,P022;P074;P043;P045,4.00,Leaders:2-Balanced:1-Thinkers:1,Chess;FIFA;DOTA 2,Attacker;Supporter;Defender;Coordinator
T4,Team 4,P091;P059;P087;P093,5.50,Leaders:1-Balanced:1-Thinkers:2,FIFA;DOTA 2;Basketball;CS:GO,Strategist;Supporter;Attacker;Defender
T5,Team 5,P054;P046;P050;P003,5.50,Leaders:1-Balanced:1-Thinkers:2,Valorant;CS:GO;Basketball;FIFA,Supporter;Strategist;Coordinator;Defender
T6,Team 6,P028;P039;P041;P072,5.75,Leaders:1-Balanced:1-Thinkers:2,CS:GO;FIFA;Basketball;DOTA 2,Defender;Supporter;Strategist;Attacker
T7,Team 7,P055;P051;P052;P094,3.50,Leaders:3-Balanced:0-Thinkers:1,Chess;FIFA;CS:GO,Coordinator;Strategist;Attacker;Supporter
T8,Team 8,P081;P042;P079;P095,6.00,Leaders:1-Balanced:1-Thinkers:2,FIFA;DOTA 2;Chess;CS:GO,Strategist;Attacker;Supporter;Coordinator
T9,Team 9,P026;P002;P010;P029,5.75,Leaders:1-Balanced:3-Thinkers:0,Chess;FIFA;Valorant;Basketball,Strategist;Attacker;Coordinator;Supporter
T10,Team 10,P031;P084;P090;P098,5.75,Leaders:1-Balanced:1-Thinkers:2,Basketball;FIFA;Chess;CS:GO,Strategist;Supporter;Coordinator;Defender
T11,Team 11,P008;P071;P024;P057,8.00,Leaders:0-Balanced:2-Thinkers:2,Valorant;Chess;DOTA 2;CS:GO,Defender;Strategist;Supporter;Attacker
T12,Team 12,P019;P012;P058;P001,4.25,Leaders:3-Balanced:0-Thinkers:1,FIFA;DOTA 2;Valorant;Chess,Supporter;Attacker;Defender;Strategist
T13,Team 13,P036;P004;P013;P030,5.25,Leaders:2-Balanced:0-Thinkers:2,Chess;Basketball;DOTA 2;CS:GO,Strategist;Supporter;Defender;Coordinator
T14,Team 14,P037;P014;P020;P023,4.25,Leaders:1-Balanced:3-Thinkers:0,DOTA 2;FIFA;Valorant;CS:GO,Attacker;Supporter;Coordinator;Defender
T15,Team 15,P063;P049;P097;P006,4.00,Leaders:2-Balanced:0-Thinkers:2,Chess;Basketball;FIFA;CS:GO,Defender;Supporter;Attacker;Strategist
T16,Team 16,P035;P076;P068;P080,4.25,Leaders:1-Balanced:3-Thinkers:0,Basketball;FIFA;Chess,Coordinator;Strategist;Defender
T17,Team 17,P017;P073;P075;P089,8.00,Leaders:1-Balanced:2-Thinkers:1,CS:GO;DOTA 2;Valorant;Chess,Attacker;Defender;Coordinator;Supporter
T18,Team 18,P082;P096;P069;P088,6.75,Leaders:2-Balanced:0-Thinkers:2,Valorant;DOTA 2;CS:GO;FIFA,Attacker;Strategist;Supporter;Defender
T19,Team 19,P086;P065;P027;P064,7.00,Leaders:1-Balanced:2-Thinkers:1,FIFA;DOTA 2;Chess;CS:GO,Strategist;Coordinator;Attacker;Supporter
T20,Team 20,P085;P053;P021;P067,5.50,Leaders:2-Balanced:1-Thinkers:1,Basketball;DOTA 2;FIFA,Coordinator;Defender;Strategist;Attacker
T21,Team 21,P005;P007;P018;P099,5.00,Leaders:1-Balanced:1-Thinkers:2,CS:GO;DOTA 2;FIFA;Valorant,Coordinator;Attacker;Defender;Supporter
T22,Team 22,P047;P033;P016;P070,6.00,Leaders:2-Balanced:1-Thinkers:1,DOTA 2;FIFA;CS:GO;Basketball,Attacker;Defender;Strategist;Coordinator
T23,Team 23,P011;P100;P044;P032,5.75,Leaders:1-Balanced:3-Thinkers:0,Basketball;CS:GO;FIFA;DOTA 2,Strategist;Coordinator;Supporter;Attacker
T24,Team 24,P015;P061;P062;P078,6.75,Leaders:1-Balanced:1-Thinkers:2,DOTA 2;CS:GO;Basketball;FIFA,Coordinator;Strategist;Attacker;Defender
T25,Team 25,P083;P034;P056;P060,6.25,Leaders:1-Balanced:2-Thinkers:1,DOTA 2;FIFA;Basketball;CS:GO,Defender;Supporter;Strategist;Coordinator
